"effect","model","descriptive","descriptive_se","k_descriptive","adjusted","adjusted_se","k_adjusted","scope","confounding"
"altX_gender_m_fd","model_1",0.00923822633490969,0.00964803592994862,17,0.00328966153818086,0.00529808345321143,17,"withinEgo",0.00594856479672883
"altX_gender_m_fd","model_2",0.00962343973955994,0.00949423240958165,17,-2.57599626463804e-06,0.00347710383344131,17,"withinEgo",0.00962601573582458
"altX_gender_m_fd","model_3",0.00949837935469849,0.00953817216354626,17,0.00147523890085173,0.00373697538476194,17,"withinEgo",0.00802314045384676
"altX_gender_m_fd","model_4",0.00951895252390929,0.00963844826680942,17,0.0037110436253142,0.00488801235225784,17,"withinEgo",0.00580790889859509
"altX_gender_m_fd","model_5",0.0100440584314425,0.0103074185954235,17,0.000703699237911989,0.00371721124683412,17,"withinEgo",0.00934035919353054
"egoX_gender_m_fd","model_1",0.00509384744232775,0.010026449385734,17,-0.00253515964820163,0.00227520447927187,17,"betweenEgo",0.00762900709052938
"egoX_gender_m_fd","model_2",0.00543292154467542,0.0098997830561285,17,-0.00316014848116643,0.00185186346131048,17,"betweenEgo",0.00859307002584185
"egoX_gender_m_fd","model_3",0.0050044639380438,0.00992234953496497,17,-0.00203570093157193,0.00186132878877189,17,"betweenEgo",0.00704016486961573
"egoX_gender_m_fd","model_4",0.00479241790739156,0.00992444916127382,17,-0.00261878682644021,0.00214727100676698,17,"betweenEgo",0.00741120473383177
"egoX_gender_m_fd","model_5",0.00485521038283298,0.00993085280969473,17,-0.00254622186187597,0.00186574223756594,17,"betweenEgo",0.00740143224470895
"egoXaltX_gender_m_sd","model_1",0.517978520066526,0.0237340831330349,17,0.0859878057604088,0.00790381513566686,17,"betweenEgo",0.431990714306117
"egoXaltX_gender_m_sd","model_2",0.511797111618993,0.0231995962636039,17,0.035272184879441,0.00614206508030217,17,"betweenEgo",0.476524926739552
"egoXaltX_gender_m_sd","model_3",0.507966161596932,0.022466900609803,17,0.0428329292832557,0.00623950780881208,17,"betweenEgo",0.465133232313676
"egoXaltX_gender_m_sd","model_4",0.518084382320298,0.0231885737213619,17,0.0655807300903226,0.00746124088360531,17,"betweenEgo",0.452503652229976
"egoXaltX_gender_m_sd","model_5",0.473345122581564,0.0211454761757003,17,9.95285146395818e-05,0.000175759460819306,17,"betweenEgo",0.473245594066924
"interaction_sd","model_0",-0.0569809744977206,0.0250586589365765,17,-0.0136555533443617,0.00582054447900817,17,"withinEgo",-0.0433254211533588
"interaction_sd","model_2",-0.0741512473211683,0.02737411503428,17,-0.0145227697175738,0.00602398884785622,17,"withinEgo",-0.0596284776035945
"recip_fd","model_0",0.476183173936659,0.0192397281966654,17,0.0717644371814394,0.0068180780527589,17,"withinEgo",0.404418736755219
"recip_fd","model_2",0.482858510352927,0.0195910074837314,17,0.0550566476956195,0.00580100138032955,17,"withinEgo",0.427801862657308
"recip_fd","model_3",0.460462763174981,0.017854806401944,17,0.0414614589478443,0.00405760074230228,17,"withinEgo",0.419001304227137
"recip_fd","model_4",0.474278143423137,0.0182883946867988,17,0.047359432766482,0.00470101420750886,17,"withinEgo",0.426918710656655
"transTrip1_fd","model_0",0.215530165364135,0.0146913939136411,17,0.0190635106086822,0.00114646678978251,17,"withinEgo",0.196466654755453
"transTrip1_fd","model_2",0.221607899312621,0.0142889281228031,17,0.0177020330998013,0.00120355027903343,17,"withinEgo",0.20390586621282
"transTrip1_fd","model_3",0.220193582216462,0.0141746910295152,17,0.0162958890622374,0.00110149670903807,17,"withinEgo",0.203897693154225
"X_primary","model_1",0.356820951854522,0.0287691513581664,17,0.0311884849011682,0.00445491962916791,17,"withinEgo",0.325632466953353
"X_primary","model_2",0.35558644481613,0.0285699334283045,17,0.0204551462106019,0.00301133683158673,17,"withinEgo",0.335131298605528
"X_primary","model_3",0.352908906278906,0.0290616963648735,17,0.0206337630668827,0.00315010034328145,17,"withinEgo",0.332275143212023
"X_primary","model_4",0.36020903351416,0.0290659102428063,17,0.022202042927331,0.0033417020430479,17,"withinEgo",0.338006990586829
"X_primary","model_5",0.357010350195562,0.0292131792974073,17,0.0202544151191,0.00384446863430802,17,"withinEgo",0.336755935076462
