"effect","model","context","descriptive","descriptive_se","k_descriptive","adjusted","adjusted_se","k_adjusted","confounding"
"altX_gender_m_fd","model_1","creation",0.000141670622263783,0.00302527601898139,17,0.000544947804532794,0.00291863621316235,17,-0.00040327718226901
"altX_gender_m_fd","model_1","maintenance",-0.0131436518185774,0.018817231153615,17,-0.00173732234844384,0.0173029464116681,17,-0.0114063294701336
"altX_gender_m_fd","model_2","creation",0.000561432993997823,0.00205645493535613,17,0.000479179602985961,0.00211901030031431,17,8.22533910118612e-05
"altX_gender_m_fd","model_2","maintenance",-0.0200444778742557,0.01857245501145,17,0.00103280466383049,0.00905987914753247,17,-0.0210772825380862
"altX_gender_m_fd","model_3","creation",0.00101241648375103,0.00214568291715727,17,0.000933921483370414,0.00217774872979229,17,7.84950003806132e-05
"altX_gender_m_fd","model_3","maintenance",-0.012277590643965,0.0181050324974098,17,0.00190884177353928,0.00983802177473097,17,-0.0141864324175043
"altX_gender_m_fd","model_4","creation",0.000691024844919302,0.00274642013992267,17,0.00120167586656944,0.00263548756925942,17,-0.000510651021650136
"altX_gender_m_fd","model_4","maintenance",-0.0170502720240916,0.0184210323499314,17,-0.00129688143367376,0.012387720747608,17,-0.0157533905904179
"altX_gender_m_fd","model_5","creation",0.00109352047324736,0.00277020760932003,17,0.000615875493691685,0.00249468607262924,17,0.000477644979555678
"altX_gender_m_fd","model_5","maintenance",-0.00788386142683703,0.0105161567683059,17,-0.0010996428060742,0.00866046677934774,17,-0.00678421862076282
"egoX_gender_m_fd","model_1","creation",-0.00123731265337796,0.00190298356186355,17,-0.00154097242178799,0.00141157573422009,17,0.000303659768410032
"egoX_gender_m_fd","model_1","maintenance",-0.00832251682807609,0.0123185542406182,17,-0.0124157588140047,0.0107201678828739,17,0.00409324198592862
"egoX_gender_m_fd","model_2","creation",-0.00090573080134637,0.00135717319442645,17,-0.00180703849430908,0.00114947693197782,17,0.000901307692962709
"egoX_gender_m_fd","model_2","maintenance",-0.00715179181112748,0.01253351117549,17,-0.0180706875382185,0.00844059239101892,17,0.010918895727091
"egoX_gender_m_fd","model_3","creation",-0.0011773296097361,0.00140897800640855,17,-0.00118988235965435,0.00116586136581094,17,1.25527499182541e-05
"egoX_gender_m_fd","model_3","maintenance",-0.0106321525634273,0.0114316658363942,17,-0.011740465172636,0.00840392228886799,17,0.00110831260920876
"egoX_gender_m_fd","model_4","creation",-0.00135903914423769,0.00179729571714443,17,-0.00156552955838673,0.00133488457161449,17,0.000206490414149048
"egoX_gender_m_fd","model_4","maintenance",-0.00774365220856002,0.0116041085933656,17,-0.0139444432807955,0.00976240241483132,17,0.0062007910722355
"egoX_gender_m_fd","model_5","creation",-0.00134286620476009,0.00189445540249323,17,-0.00159522687264109,0.00116891920944501,17,0.000252360667881
"egoX_gender_m_fd","model_5","maintenance",-0.0069863781224172,0.0129259561014641,17,-0.0113445400812677,0.00793228546478649,17,0.00435816195885055
"egoXaltX_gender_m_sd","model_1","creation",0.0632870192983063,0.00624811700472438,17,0.05243114026731,0.00486638975251601,17,0.0108558790309963
"egoXaltX_gender_m_sd","model_1","maintenance",0.189946443930715,0.0389378338545045,15,0.252546906629407,0.0302056975228295,15,-0.0626004626986918
"egoXaltX_gender_m_sd","model_2","creation",0.0616609462804778,0.00489761642062877,17,0.0226474169129076,0.00316815543145056,17,0.0390135293675702
"egoXaltX_gender_m_sd","model_2","maintenance",0.0961091840881086,0.0374403205082405,15,0.109564155983084,0.0208589074675124,15,-0.0134549718949749
"egoXaltX_gender_m_sd","model_3","creation",0.0564472821756389,0.00484288398014082,17,0.0274002976635429,0.00320313076337095,17,0.0290469845120959
"egoXaltX_gender_m_sd","model_3","maintenance",0.122066573066918,0.0383213040844093,15,0.128011683885206,0.0227751405007182,15,-0.00594511081828836
"egoXaltX_gender_m_sd","model_4","creation",0.06111729306256,0.0053725376780521,17,0.0398723282372127,0.00391581825332207,17,0.0212449648253473
"egoXaltX_gender_m_sd","model_4","maintenance",0.152690946876651,0.0327483733787509,15,0.173051469941306,0.0242592355032042,15,-0.0203605230646557
"egoXaltX_gender_m_sd","model_5","creation",0.01942035237507,0.00160628645743423,17,7.39642578117719e-05,0.000155628226442994,17,0.0193463881172582
"egoXaltX_gender_m_sd","model_5","maintenance",-0.0178025717417833,0.0231723259052062,15,-0.00071729657068035,0.00097039331894936,15,-0.017085275171103
"interaction_sd","model_0","creation",0.00321029888881849,0.00603206808097804,17,-0.00247227935382375,0.00578422715868581,17,0.00568257824264224
"interaction_sd","model_0","maintenance",-0.0698647763943356,0.00822880117853606,17,-0.0487015088197514,0.00571019211375649,17,-0.0211632675745842
"interaction_sd","model_2","creation",0.00354299388454279,0.00681018592130309,17,-0.00450360937969657,0.00584739770312632,17,0.00804660326423937
"interaction_sd","model_2","maintenance",-0.0732714149738203,0.00885496563462689,17,-0.0478031107977098,0.00732228058094051,17,-0.0254683041761104
"recip_fd","model_0","creation",0.077116546506818,0.0078041092778089,17,0.0587663818825188,0.00587770530643885,17,0.0183501646242992
"recip_fd","model_0","maintenance",0.134007073082325,0.00990603876300737,17,0.137701108857981,0.00976531995196799,17,-0.00369403577565611
"recip_fd","model_2","creation",0.0846379874395939,0.00694920396357378,17,0.0474781349170761,0.00589367681489641,17,0.0371598525225178
"recip_fd","model_2","maintenance",0.11765298238218,0.00854433198199872,17,0.114214838227816,0.0101978105252036,17,0.00343814415436408
"recip_fd","model_3","creation",0.0687462885713722,0.00592638220806916,17,0.0315014753203276,0.00332990220253246,17,0.0372448132510446
"recip_fd","model_3","maintenance",0.104346743200293,0.0128817349895322,17,0.101495359008474,0.0110331433750297,17,0.00285138419181849
"recip_fd","model_4","creation",0.0753718722091855,0.0067554347700874,17,0.0378504982370158,0.00426960872787782,17,0.0375213739721696
"recip_fd","model_4","maintenance",0.125132530291281,0.0148757778903743,17,0.102496349641621,0.0112030540677006,17,0.0226361806496593
"transTrip1_fd","model_0","creation",0.0201090818530582,0.0020583791101789,17,0.0144401080822336,0.00115431013696304,17,0.00566897377082464
"transTrip1_fd","model_0","maintenance",0.0235381206959738,0.00749108682203687,17,0.0413478201288624,0.00362990739028703,17,-0.0178096994328886
"transTrip1_fd","model_2","creation",0.0252220748395194,0.00251330404774182,17,0.0133367329842142,0.00122029235435182,17,0.0118853418553052
"transTrip1_fd","model_2","maintenance",0.0244661806192153,0.00607761633366929,17,0.037026508411419,0.00331375227989016,17,-0.0125603277922037
"transTrip1_fd","model_3","creation",0.0240659238992569,0.00246448763010486,17,0.0112542033367841,0.000942658181615756,17,0.0128117205624728
"transTrip1_fd","model_3","maintenance",0.0286425588992025,0.00568663965290919,17,0.0348255924202629,0.00216406927425184,17,-0.00618303352106041
"X_primary","model_1","creation",0.027927446269084,0.00636283433541894,17,0.0236718060575845,0.00411587899668497,17,0.00425564021149944
"X_primary","model_1","maintenance",0.0769477759860709,0.0100870714519633,17,0.0705250045374283,0.00853285093724622,17,0.0064227714486426
"X_primary","model_2","creation",0.0403421408325929,0.00942214988968469,17,0.014190679220257,0.00239314989744046,17,0.0261514616123358
"X_primary","model_2","maintenance",0.0617452670975993,0.0109708602138485,17,0.053741935158167,0.00600127402186074,17,0.00800333193943235
"X_primary","model_3","creation",0.0298539634157872,0.00670873150585983,17,0.0145980309556177,0.00263062194990362,17,0.0152559324601695
"X_primary","model_3","maintenance",0.0685830054215879,0.00868207259835469,17,0.0536856921521918,0.00564797699093543,17,0.0148973132693961
"X_primary","model_4","creation",0.0311149808609417,0.0075841659726627,17,0.0158750079514977,0.0030472946954023,17,0.015239972909444
"X_primary","model_4","maintenance",0.0689661691727514,0.00845261584051222,17,0.0537061413529543,0.00649735455666802,17,0.015260027819797
"X_primary","model_5","creation",0.0268604045270394,0.00644956889240748,17,0.013967810185234,0.0031377210734358,17,0.0128925943418054
"X_primary","model_5","maintenance",0.0682561659255632,0.00934235318053196,17,0.0515199216911964,0.00802200130170728,17,0.0167362442343668
