"effect","model","estimand","est_cr","se_cr","est_mt","se_mt","diff","diff_se"
"altX_gender_m_fd","model_1","accumulated",0.0011488235831771,0.0139637257489755,0.0554574356688017,0.085115054620438,-0.0543086120856246,0.0862528733424734
"altX_gender_m_fd","model_1","dynamic",0.000473606312115803,0.00284011112937528,0.0106352416319753,0.0181819789279825,-0.0101616353198595,0.018402461492007
"altX_gender_m_fd","model_1","static",0.000623810786482833,0.0029433152958915,0.0116312883471943,0.019537329158993,-0.0110074775607115,0.0197577917692708
"altX_gender_m_fd","model_2","accumulated",0.00177937977396212,0.011478399691169,-0.000971986674257804,0.0605954192322101,0.00275136644821992,0.0616729964522361
"altX_gender_m_fd","model_2","dynamic",2.58781117002642e-06,0.00202821300940402,-0.00157662836158853,0.0104179225928054,0.00157921617275855,0.0106135177562013
"altX_gender_m_fd","model_2","static",0.00046636048740574,0.00210577826143166,-0.000193788833280698,0.0129340688156555,0.000660149320686438,0.0131043671428432
"altX_gender_m_fd","model_3","accumulated",0.00356063940546731,0.0114802211779263,0.0307927475709648,0.072880919893062,-0.0272321081654975,0.0737795633136509
"altX_gender_m_fd","model_3","dynamic",0.000770865816068628,0.00210577838513596,0.00438965208841835,0.0131985935184096,-0.00361878627234972,0.0133655218181525
"altX_gender_m_fd","model_3","static",0.000952978959236514,0.00217249724645787,0.0029916172751944,0.0136089216309635,-0.00203863831595789,0.0137812369634795
"altX_gender_m_fd","model_4","accumulated",0.00547060520077635,0.0136758371362609,0.0550962937546956,0.0797397305258551,-0.0496256885539192,0.0809039748449575
"altX_gender_m_fd","model_4","dynamic",0.00126284784395996,0.0026274415459114,0.00911510387575711,0.0152832830794587,-0.00785225603179715,0.0155074882158281
"altX_gender_m_fd","model_4","static",0.00125755770793982,0.00263998693455101,0.0101233543424855,0.0167939700628596,-0.00886579663454569,0.0170002047483795
"altX_gender_m_fd","model_5","accumulated",0.00212712119173075,0.0114056554008369,-0.00228361692360189,0.0474219538466511,0.00441073811533263,0.0487742829958222
"altX_gender_m_fd","model_5","dynamic",0.000516194159175962,0.00234426119151933,-0.000449460798146341,0.00982209786616222,0.000965654957322303,0.0100979783633424
"altX_gender_m_fd","model_5","static",0.00061044669009952,0.00248403016360628,-0.000412936949206564,0.00959150109403745,0.00102338363930608,0.009907941213523
"egoX_gender_m_fd","model_1","accumulated",-0.00748299088800479,0.00749965930292413,-0.0540000563081961,0.0496444594137474,0.0465170654201914,0.0502077408388701
"egoX_gender_m_fd","model_1","dynamic",-0.00160275136990553,0.00159649113465205,-0.0108278579580949,0.0102902209598679,0.0092251065881894,0.0104133295033782
"egoX_gender_m_fd","model_1","static",-0.00154097242178799,0.00141157573422009,-0.0124157588140047,0.0107201678828739,0.0108747863922167,0.0108127029687511
"egoX_gender_m_fd","model_2","accumulated",-0.0152024387364341,0.00707140692987608,-0.121062240670633,0.0501269166188344,0.105859801934199,0.0506232413588806
"egoX_gender_m_fd","model_2","dynamic",-0.00253243665230321,0.00137558420358188,-0.0211492022109299,0.00978719705897849,0.0186167655586267,0.00988339304957671
"egoX_gender_m_fd","model_2","static",-0.00180703849430908,0.00114947693197782,-0.0180706875382185,0.00844059239101892,0.0162636490439094,0.00851850322113431
"egoX_gender_m_fd","model_3","accumulated",-0.0080145763908573,0.0073770046401351,-0.0707967697723535,0.0511701978943564,0.0627821933814962,0.0516992200135376
"egoX_gender_m_fd","model_3","dynamic",-0.00133443996558205,0.00132278902514032,-0.0126548068206065,0.00957686878365633,0.0113203668550244,0.00966779119056689
"egoX_gender_m_fd","model_3","static",-0.00118988235965435,0.00116586136581094,-0.011740465172636,0.00840392228886798,0.0105505828129817,0.0084844058461169
"egoX_gender_m_fd","model_4","accumulated",-0.00882875785354058,0.00794910277371854,-0.0645010894501298,0.0515382747274778,0.0556723315965893,0.0521476940697488
"egoX_gender_m_fd","model_4","dynamic",-0.00175022020463623,0.00155957645108472,-0.012900285030661,0.00999896522726818,0.0111500648260247,0.0101198608845624
"egoX_gender_m_fd","model_4","static",-0.00156552955838673,0.00133488457161449,-0.0139444432807955,0.00976240241483132,0.0123789137224088,0.00985324402055682
"egoX_gender_m_fd","model_5","accumulated",-0.00931590990456483,0.00648942889307447,-0.0613416344774929,0.0414930409475548,0.0520257245729281,0.0419974419986947
"egoX_gender_m_fd","model_5","dynamic",-0.00188603402625668,0.00139430468129964,-0.0126242964450386,0.00892028541327938,0.0107382624187819,0.00902859775373004
"egoX_gender_m_fd","model_5","static",-0.00159522687264109,0.00116891920944501,-0.0113445400812677,0.00793228546478649,0.00974931320862666,0.00801795016279551
"egoXaltX_gender_m_sd","model_1","accumulated",0.239478592256206,0.0277465803457703,1.34616676429073,0.155886412371694,-1.10668817203452,0.158336497002435
"egoXaltX_gender_m_sd","model_1","dynamic",0.0489778117918095,0.00440424140078334,0.287797462853374,0.0335371204635882,-0.238819651061565,0.0338250763680675
"egoXaltX_gender_m_sd","model_1","static",0.052431140267284,0.00486638975249082,0.263620777055294,0.0296507453677597,-0.21118963678801,0.0300474366641627
"egoXaltX_gender_m_sd","model_2","accumulated",0.123803168546215,0.0229704632709814,0.708467867648016,0.169125339404096,-0.584664699101801,0.17067812575557
"egoXaltX_gender_m_sd","model_2","dynamic",0.0223741417699733,0.00278816755539838,0.12465245047418,0.0248064239282409,-0.102278308704206,0.0249626229876706
"egoXaltX_gender_m_sd","model_2","static",0.02264741691309,0.00316815543146381,0.11285975938861,0.0204342448869867,-0.0902123424755201,0.0206783841955616
"egoXaltX_gender_m_sd","model_3","accumulated",0.153959909499472,0.0225925737293464,0.894317512449531,0.16714842492131,-0.740357602950059,0.168668373862413
