"est","se","ci_low","ci_high","effect","model","class_id","pval","tau2","QEp","k","method","estimand","context"
0.0592624754968669,0.00639701228850668,0.0467245618027337,0.0718003891910002,"recip_fd","model_0","Summary",1.96754185836272e-20,6.00740976568074e-05,0.539406759554966,17,"REML","static","creation"
0.0465576143995908,0.0061058186269717,0.0345904297945925,0.0585247990045892,"recip_fd","model_2","Summary",2.43802938991886e-14,0,0.769389925812509,17,"REML","static","creation"
0.0307923620148375,0.00332964551011122,0.024266376733734,0.0373183472959409,"recip_fd","model_3","Summary",2.28860676169927e-20,4.44613373900596e-05,0.114274062245732,17,"REML","static","creation"
0.0360381032839991,0.00400777759222833,0.0281830035451849,0.0438932030228133,"recip_fd","model_4","Summary",2.42679577660036e-19,9.7005471902709e-05,0.0421561199707065,17,"REML","static","creation"
0.0152702996879702,0.00121852064106249,0.012882043117069,0.0176585562588713,"transTrip1_fd","model_0","Summary",4.99923860013444e-36,2.92775569369206e-06,0.240700738779486,17,"REML","static","creation"
0.0139074047673408,0.00116541837530729,0.0116232267248174,0.0161915828098643,"transTrip1_fd","model_2","Summary",7.92675030707659e-33,0,0.856268897525965,17,"REML","static","creation"
0.0126791753494353,0.00102117686598426,0.0106777054702607,0.01468064522861,"transTrip1_fd","model_3","Summary",2.13359828067007e-35,0,0.691868397267392,17,"REML","static","creation"
-0.0015645018089869,0.00621696981669963,-0.0137495387426908,0.0106205351247169,"interaction_sd","model_0","Summary",0.801311439134948,0,0.996512475561723,17,"REML","static","creation"
-0.00378030911086066,0.00607067256815005,-0.01567860870637,0.00811799048464872,"interaction_sd","model_2","Summary",0.533470714862311,0,0.992646848510561,17,"REML","static","creation"
0.0225941491413599,0.00396212721264166,0.0148285225024162,0.0303597757803036,"X_primary","model_1","Summary",1.18042154593604e-08,6.73052104479213e-05,0.191716417202127,17,"REML","static","creation"
0.0136841736023013,0.0023808545522162,0.00901778442752932,0.0183505627770733,"X_primary","model_2","Summary",9.05249156681838e-09,0,0.749739578247752,17,"REML","static","creation"
0.0140328610124663,0.00256440952596128,0.00900671069997074,0.0190590113249618,"X_primary","model_3","Summary",4.44581414040636e-08,0,0.764581322163646,17,"REML","static","creation"
0.0146706367669691,0.00280090728571399,0.00918095936293385,0.0201603141710044,"X_primary","model_4","Summary",1.62488008007689e-07,6.96071118903164e-06,0.473906667018272,17,"REML","static","creation"
0.0124400513314714,0.00273284496691472,0.00708377362098703,0.0177963290419558,"X_primary","model_5","Summary",5.31252985869716e-06,7.52800936335234e-06,0.213394375818968,17,"REML","static","creation"
-0.00154097242178799,0.00141157573422009,-0.00430761002231006,0.00122566517873408,"egoX_gender_m_fd","model_1","Summary",0.274978942255765,1.68522213836021e-05,0.00839352169086261,17,"REML","static","creation"
-0.00180703849430908,0.00114947693197782,-0.00405997188204521,0.000445894893427054,"egoX_gender_m_fd","model_2","Summary",0.115938293515926,1.8110554471981e-06,0.313906506655506,17,"REML","static","creation"
-0.00118988235965435,0.00116586136581094,-0.00347492864761047,0.00109516392830178,"egoX_gender_m_fd","model_3","Summary",0.30744226178829,5.02855185378255e-06,0.179593464298439,17,"REML","static","creation"
-0.00156552955838673,0.00133488457161449,-0.00418185524226932,0.00105079612549585,"egoX_gender_m_fd","model_4","Summary",0.240882949507855,1.42396694654321e-05,0.0137237877537508,17,"REML","static","creation"
-0.00159522687264109,0.00116891920944501,-0.00388626642399034,0.000695812678708166,"egoX_gender_m_fd","model_5","Summary",0.172346599078397,7.49238464799e-06,0.0841389339355118,17,"REML","static","creation"
0.000623810786482833,0.0029433152958915,-0.00514498118861037,0.00639260276157603,"altX_gender_m_fd","model_1","Summary",0.83215263979317,0.000107437695628226,8.34035132632017e-09,17,"REML","static","creation"
0.00046636048740574,0.00210577826143166,-0.00366088906442768,0.00459361003923916,"altX_gender_m_fd","model_2","Summary",0.824728794380674,4.07991405581108e-05,0.0013984126184765,17,"REML","static","creation"
0.000952978959236514,0.00217249724645787,-0.00330503740033336,0.00521099531880638,"altX_gender_m_fd","model_3","Summary",0.660910811102575,4.96508152976091e-05,8.94765120450878e-05,17,"REML","static","creation"
0.00125755770793982,0.00263998693455101,-0.00391672160343646,0.0064318370193161,"altX_gender_m_fd","model_4","Summary",0.63382506804528,8.30408190345889e-05,1.07395707552893e-07,17,"REML","static","creation"
0.00061044669009952,0.00248403016360628,-0.00425816296707993,0.00547905634727897,"altX_gender_m_fd","model_5","Summary",0.80587692454723,6.56575643699859e-05,4.07468063103354e-05,17,"REML","static","creation"
0.052431140267284,0.00486638975249082,0.0428931916176672,0.0619690889169008,"egoXaltX_gender_m_sd","model_1","Summary",4.56048304743091e-27,0.000276015864956084,1.83550189673331e-05,17,"REML","static","creation"
0.02264741691309,0.00316815543146381,0.016437946369996,0.0288568874561841,"egoXaltX_gender_m_sd","model_2","Summary",8.775993285421e-13,3.06417832036987e-05,0.131561949211448,17,"REML","static","creation"
0.0274002976635511,0.00320313076336843,0.0211222767295767,0.0336783185975255,"egoXaltX_gender_m_sd","model_3","Summary",1.18664405271851e-17,4.99162209863833e-05,0.0537652156495105,17,"REML","static","creation"
0.0398723282374169,0.00391581825339424,0.0321974654907597,0.0475471909840742,"egoXaltX_gender_m_sd","model_4","Summary",2.37689215410355e-24,0.000136843465087001,0.00140419629370432,17,"REML","static","creation"
7.3964257811239e-05,0.000155628226443055,-0.000231061460994993,0.000378989976617471,"egoXaltX_gender_m_sd","model_5","Summary",0.634599894086297,0,0.630290562842544,17,"REML","static","creation"
0.172632673824793,0.014918337001534,0.143393270592555,0.201872077057031,"recip_fd","model_0","Summary",5.72388290189088e-31,0.00220625217146418,0.00044525328855686,17,"REML","static","maintenance"
0.141578055135831,0.0133911043033508,0.115331972988045,0.167824137283618,"recip_fd","model_2","Summary",3.99502700763005e-26,0.00110683787104499,0.0405522535204829,17,"REML","static","maintenance"
0.11543502879356,0.0135117586125257,0.0889524685452106,0.141917589041909,"recip_fd","model_3","Summary",1.30440388466847e-17,0.00190638382873523,0.000230187856308665,17,"REML","static","maintenance"
0.10905082621666,0.0129944759935188,0.0835821212713924,0.134519531161927,"recip_fd","model_4","Summary",4.77570644092014e-17,0.00189447484442402,9.34453153167922e-06,17,"REML","static","maintenance"
0.0431119794560739,0.00391375296373435,0.0354411646027677,0.0507827943093801,"transTrip1_fd","model_0","Summary",3.21714470304108e-28,0.000115240215957191,0.0118402724488966,17,"REML","static","maintenance"
0.0390111998208317,0.00315718974163463,0.0328232216348685,0.0451991780067949,"transTrip1_fd","model_2","Summary",4.5038668871848e-35,1.69344498700495e-05,0.337935193861108,17,"REML","static","maintenance"
0.0394616087026514,0.00264136531356925,0.0342846278180423,0.0446385895872605,"transTrip1_fd","model_3","Summary",1.81375717997378e-50,9.78618787629019e-07,0.609879575256056,17,"REML","static","maintenance"
-0.0875141034643563,0.00900270239678751,-0.105159075925592,-0.0698691310031203,"interaction_sd","model_0","Summary",2.45672328316069e-22,0,0.882711745801628,17,"REML","static","maintenance"
-0.0838670800363339,0.0108741154910013,-0.105179954762426,-0.0625542053102422,"interaction_sd","model_2","Summary",1.23335393050369e-14,0,0.972241566839873,17,"REML","static","maintenance"
0.069486258218855,0.00891613732313868,0.0520109501842898,0.0869615662534201,"X_primary","model_1","Summary",6.5274117922646e-15,0.000683351418245981,0.00562284927960682,17,"REML","static","maintenance"
0.0601635029208374,0.00658204813154774,0.0472629256384947,0.0730640802031801,"X_primary","model_2","Summary",6.2138747539264e-20,0,0.574286352335404,17,"REML","static","maintenance"
0.0598417486894554,0.00641775368146583,0.0472631826121331,0.0724203147667778,"X_primary","model_3","Summary",1.11605705577829e-20,0,0.568680156664894,17,"REML","static","maintenance"
0.0535565521922766,0.00589144182188436,0.0420095384043702,0.065103565980183,"X_primary","model_4","Summary",9.85230400423197e-20,5.0368765676829e-05,0.357377385668986,17,"REML","static","maintenance"
0.0532776976095114,0.00751585788733081,0.0385468868374217,0.0680085083816011,"X_primary","model_5","Summary",1.35372972069095e-12,0.000250056556279349,0.166441920965567,17,"REML","static","maintenance"
-0.0124157588140047,0.0107201678828739,-0.0334269017726605,0.00859538414465105,"egoX_gender_m_fd","model_1","Summary",0.246795354294353,0.000822672310187379,0.0191796970575557,17,"REML","static","maintenance"
-0.0180706875382185,0.00844059239101892,-0.0346139446327984,-0.00152743044363859,"egoX_gender_m_fd","model_2","Summary",0.0322799694384379,0.000116423093638923,0.392192693247199,17,"REML","static","maintenance"
-0.011740465172636,0.00840392228886798,-0.0282118501876907,0.00473091984241865,"egoX_gender_m_fd","model_3","Summary",0.162406925143512,0.000176066400442284,0.258394193019223,17,"REML","static","maintenance"
-0.0139444432807955,0.00976240241483132,-0.0330784004164517,0.00518951385486072,"egoX_gender_m_fd","model_4","Summary",0.153181837205654,0.000617328111038307,0.0359163140532128,17,"REML","static","maintenance"
