"target","class_id","condition","kind","n_cond","n_not","p_t2_cond","p_t2_not","n_steps","est"
"recip_fd","12b","j nominates i at t1","level",111,442,0.540540540540541,0.147058823529412,NA,0.393481717011129
"transTrip1_fd","12b","one more two-path at t1","unit",230,588,0.355529724138747,0.214285714285714,5,0.141244009853032
"X_primary","12b","primary-school friend","level",80,518,0.525,0.177606177606178,NA,0.347393822393822
"egoX_gender_m_fd","12b","ego is male","level",208,390,0.254807692307692,0.207692307692308,NA,0.0471153846153846
"altX_gender_m_fd","12b","alter is male","level",199,376,0.221105527638191,0.23936170212766,NA,-0.0182561744894686
"egoXaltX_gender_m_sd","12b","both male","level",64,511,0.515625,0.197651663405088,NA,0.317973336594912
"recip_fd","12c","j nominates i at t1","level",54,234,0.611111111111111,0.145299145299145,NA,0.465811965811966
"transTrip1_fd","12c","one more two-path at t1","unit",87,340,0.433096837799167,0.2,3,0.233096837799167
"X_primary","12c","primary-school friend","level",41,320,0.439024390243902,0.2125,NA,0.226524390243902
"egoX_gender_m_fd","12c","ego is male","level",171,190,0.233918128654971,0.242105263157895,NA,-0.00818713450292399
"altX_gender_m_fd","12c","alter is male","level",181,180,0.232044198895028,0.244444444444444,NA,-0.0124002455494168
"egoXaltX_gender_m_sd","12c","both male","level",81,280,0.469135802469136,0.171428571428571,NA,0.297707231040564
"recip_fd","12e","j nominates i at t1","level",119,457,0.436974789915966,0.0962800875273523,NA,0.340694702388614
"transTrip1_fd","12e","one more two-path at t1","unit",288,680,0.269058046838761,0.167647058823529,4,0.101410988015232
"X_primary","12e","primary-school friend","level",65,583,0.430769230769231,0.168096054888508,NA,0.262673175880723
"egoX_gender_m_fd","12e","ego is male","level",297,405,0.134680134680135,0.222222222222222,NA,-0.0875420875420875
"altX_gender_m_fd","12e","alter is male","level",301,375,0.136212624584718,0.237333333333333,NA,-0.101120708748616
"egoXaltX_gender_m_sd","12e","both male","level",121,555,0.256198347107438,0.178378378378378,NA,0.0778199687290596
"recip_fd","12f","j nominates i at t1","level",116,437,0.474137931034483,0.107551487414188,NA,0.366586443620295
"transTrip1_fd","12f","one more two-path at t1","unit",306,635,0.302922554026764,0.163779527559055,4,0.139143026467709
"X_primary","12f","primary-school friend","level",93,507,0.43010752688172,0.140039447731755,NA,0.290068079149965
"egoX_gender_m_fd","12f","ego is male","level",286,364,0.185314685314685,0.162087912087912,NA,0.0232267732267732
"altX_gender_m_fd","12f","alter is male","level",264,386,0.189393939393939,0.160621761658031,NA,0.0287721777359083
"egoXaltX_gender_m_sd","12f","both male","level",110,540,0.354545454545455,0.135185185185185,NA,0.219360269360269
"recip_fd","12g","j nominates i at t1","level",89,441,0.584269662921348,0.0839002267573696,NA,0.500369436163979
"transTrip1_fd","12g","one more two-path at t1","unit",180,601,0.305507634712583,0.154742096505824,3,0.150765538206759
"X_primary","12g","primary-school friend","level",58,518,0.448275862068966,0.138996138996139,NA,0.309279723072827
"egoX_gender_m_fd","12g","ego is male","level",325,300,0.138461538461538,0.2,NA,-0.0615384615384615
"altX_gender_m_fd","12g","alter is male","level",312,313,0.153846153846154,0.182108626198083,NA,-0.0282624723519292
"egoXaltX_gender_m_sd","12g","both male","level",156,469,0.25,0.140724946695096,NA,0.109275053304904
"recip_fd","12h","j nominates i at t1","level",86,515,0.627906976744186,0.0504854368932039,NA,0.577421539850982
"transTrip1_fd","12h","one more two-path at t1","unit",163,610,0.348988170299646,0.126229508196721,4,0.222758662102924
"X_primary","12h","primary-school friend","level",61,539,0.40983606557377,0.10760667903525,NA,0.30222938653852
"egoX_gender_m_fd","12h","ego is male","level",300,325,0.163333333333333,0.107692307692308,NA,0.0556410256410256
"altX_gender_m_fd","12h","alter is male","level",313,312,0.159744408945687,0.108974358974359,NA,0.0507700499713279
"egoXaltX_gender_m_sd","12h","both male","level",144,481,0.298611111111111,0.0852390852390852,NA,0.213372025872026
"recip_fd","12k","j nominates i at t1","level",85,466,0.552941176470588,0.0386266094420601,NA,0.514314567028528
"transTrip1_fd","12k","one more two-path at t1","unit",173,806,0.26923618036069,0.121588089330025,5,0.147648091030666
"X_primary","12k","primary-school friend","level",94,608,0.393617021276596,0.0855263157894737,NA,0.308090705487122
"egoX_gender_m_fd","12k","ego is male","level",435,377,0.12183908045977,0.122015915119363,NA,-0.000176834659593283
"altX_gender_m_fd","12k","alter is male","level",433,379,0.131639722863741,0.110817941952507,NA,0.0208217809112348
"egoXaltX_gender_m_sd","12k","both male","level",225,587,0.222222222222222,0.0834752981260647,NA,0.138746924096157
"recip_fd","12m","j nominates i at t1","level",108,493,0.527777777777778,0.105476673427992,NA,0.422301104349786
"transTrip1_fd","12m","one more two-path at t1","unit",244,645,0.312710078077977,0.170542635658915,5,0.142167442419063
"X_primary","12m","primary-school friend","level",68,556,0.573529411764706,0.111510791366906,NA,0.462018620397799
"egoX_gender_m_fd","12m","ego is male","level",416,234,0.168269230769231,0.17948717948718,NA,-0.0112179487179487
"altX_gender_m_fd","12m","alter is male","level",384,266,0.197916666666667,0.135338345864662,NA,0.062578320802005
"egoXaltX_gender_m_sd","12m","both male","level",240,410,0.266666666666667,0.117073170731707,NA,0.149593495934959
"recip_fd","12n","j nominates i at t1","level",123,579,0.560975609756098,0.0811744386873921,NA,0.479801171068706
"transTrip1_fd","12n","one more two-path at t1","unit",238,710,0.330915768761207,0.145070422535211,5,0.185845346225996
"X_primary","12n","primary-school friend","level",65,637,0.523076923076923,0.125588697017268,NA,0.397488226059655
"egoX_gender_m_fd","12n","ego is male","level",378,351,0.166666666666667,0.156695156695157,NA,0.00997150997150997
"altX_gender_m_fd","12n","alter is male","level",391,338,0.171355498721228,0.150887573964497,NA,0.0204679247567306
"egoXaltX_gender_m_sd","12n","both male","level",196,533,0.311224489795918,0.106941838649156,NA,0.204282651146763
"recip_fd","12p","j nominates i at t1","level",115,756,0.608695652173913,0.0714285714285714,NA,0.537267080745342
"transTrip1_fd","12p","one more two-path at t1","unit",230,982,0.318051312514143,0.136456211812627,4,0.181595100701516
"X_primary","12p","primary-school friend","level",62,868,0.467741935483871,0.115207373271889,NA,0.352534562211982
"egoX_gender_m_fd","12p","ego is male","level",416,576,0.129807692307692,0.151041666666667,NA,-0.0212339743589743
"altX_gender_m_fd","12p","alter is male","level",421,540,0.118764845605701,0.161111111111111,NA,-0.0423462655054104
"egoXaltX_gender_m_sd","12p","both male","level",169,792,0.254437869822485,0.118686868686869,NA,0.135751001135617
"recip_fd","02a","j nominates i at t1","level",69,396,0.565217391304348,0.0909090909090909,NA,0.474308300395257
"transTrip1_fd","02a","one more two-path at t1","unit",134,511,0.35939303276632,0.142857142857143,3,0.216535889909178
"X_primary","02a","primary-school friend","level",22,506,0.545454545454545,0.144268774703557,NA,0.401185770750988
"egoX_gender_m_fd","02a","ego is male","level",288,240,0.121527777777778,0.208333333333333,NA,-0.0868055555555556
"altX_gender_m_fd","02a","alter is male","level",318,210,0.119496855345912,0.223809523809524,NA,-0.104312668463612
"egoXaltX_gender_m_sd","02a","both male","level",168,360,0.19047619047619,0.147222222222222,NA,0.0432539682539682
"recip_fd","02b","j nominates i at t1","level",108,422,0.657407407407407,0.109004739336493,NA,0.548402668070915
"transTrip1_fd","02b","one more two-path at t1","unit",276,594,0.363264637425711,0.198653198653199,5,0.164611438772513
"X_primary","02b","primary-school friend","level",10,542,0.8,0.208487084870849,NA,0.591512915129151
"egoX_gender_m_fd","02b","ego is male","level",350,250,0.174285714285714,0.24,NA,-0.0657142857142857
"altX_gender_m_fd","02b","alter is male","level",322,278,0.204968944099379,0.197841726618705,NA,0.00712721748067385
"egoXaltX_gender_m_sd","02b","both male","level",182,418,0.307692307692308,0.155502392344498,NA,0.15218991534781
"recip_fd","02c","j nominates i at t1","level",102,450,0.568627450980392,0.0888888888888889,NA,0.479738562091503
"transTrip1_fd","02c","one more two-path at t1","unit",203,592,0.318500285260985,0.152027027027027,6,0.166473258233958
"X_primary","02c","primary-school friend","level",19,509,0.631578947368421,0.165029469548134,NA,0.466549477820287
"egoX_gender_m_fd","02c","ego is male","level",325,275,0.190769230769231,0.130909090909091,NA,0.0598601398601399
"altX_gender_m_fd","02c","alter is male","level",299,277,0.207357859531773,0.129963898916967,NA,0.0773939606148051
"egoXaltX_gender_m_sd","02c","both male","level",156,420,0.384615384615385,0.0904761904761905,NA,0.294139194139194
"recip_fd","02d","j nominates i at t1","level",120,582,0.475,0.070446735395189,NA,0.404553264604811
"transTrip1_fd","02d","one more two-path at t1","unit",248,764,0.276997631513338,0.12434554973822,4,0.152652081775118
"X_primary","02d","primary-school friend","level",37,691,0.27027027027027,0.127351664254703,NA,0.142918606015567
"egoX_gender_m_fd","02d","ego is male","level",504,280,0.140873015873016,0.121428571428571,NA,0.0194444444444444
"altX_gender_m_fd","02d","alter is male","level",486,270,0.146090534979424,0.125925925925926,NA,0.020164609053498
"egoXaltX_gender_m_sd","02d","both male","level",306,450,0.225490196078431,0.08,NA,0.145490196078431
"recip_fd","02e","j nominates i at t1","level",111,466,0.711711711711712,0.160944206008584,NA,0.550767505703128
"transTrip1_fd","02e","one more two-path at t1","unit",197,662,0.476151959326074,0.22809667673716,5,0.248055282588914
"X_primary","02e","primary-school friend","level",20,628,0.55,0.229299363057325,NA,0.320700636942675
"egoX_gender_m_fd","02e","ego is male","level",378,297,0.261904761904762,0.212121212121212,NA,0.0497835497835498
"altX_gender_m_fd","02e","alter is male","level",361,289,0.296398891966759,0.186851211072664,NA,0.109547680894095
"egoXaltX_gender_m_sd","02e","both male","level",196,454,0.48469387755102,0.145374449339207,NA,0.339319428211813
"recip_fd","02f","j nominates i at t1","level",124,554,0.475806451612903,0.0884476534296029,NA,0.3873587981833
"transTrip1_fd","02f","one more two-path at t1","unit",282,722,0.287665466981643,0.156509695290859,5,0.131155771690784
"X_primary","02f","primary-school friend","level",33,667,0.333333333333333,0.151424287856072,NA,0.181909045477261
"egoX_gender_m_fd","02f","ego is male","level",476,252,0.123949579831933,0.218253968253968,NA,-0.0943043884220355
"altX_gender_m_fd","02f","alter is male","level",451,277,0.130820399113082,0.1985559566787,NA,-0.0677355575656183
"egoXaltX_gender_m_sd","02f","both male","level",289,439,0.176470588235294,0.143507972665148,NA,0.0329626155701461
"recip_fd","02g","j nominates i at t1","level",109,676,0.486238532110092,0.0784023668639053,NA,0.407836165246186
