"class_id","wave","actors","ties","density","mean_degree","recip_edgewise","transitivity","missing_frac"
"12b",1,27,117,0.18,4.33333333333333,0.564102564102564,0.506616257088847,0.0713305898491084
"12b",2,27,134,0.224080267558528,4.96296296296296,0.537313432835821,0.511228533685601,0.142661179698217
"12c",1,22,66,0.184873949579832,3,0.545454545454545,0.650537634408602,0.216942148760331
"12c",2,22,86,0.238227146814404,3.90909090909091,0.511627906976744,0.587692307692308,0.208677685950413
"12e",1,28,127,0.20450885668277,4.53571428571429,0.456692913385827,0.471830985915493,0.17219387755102
"12e",2,28,130,0.185185185185185,4.64285714285714,0.538461538461538,0.476340694006309,0.0688775510204082
"12f",1,27,122,0.203333333333333,4.51851851851852,0.508196721311475,0.405454545454545,0.139917695473251
"12f",2,27,112,0.172307692307692,4.14814814814815,0.607142857142857,0.443359375,0.0713305898491084
"12g",1,26,93,0.168478260869565,3.57692307692308,0.53763440860215,0.526501766784452,0.144970414201183
"12g",2,26,105,0.168,4.03846153846154,0.514285714285714,0.505813953488372,0.0369822485207101
"12h",1,26,93,0.1488,3.57692307692308,0.645161290322581,0.565217391304348,0.0369822485207101
"12h",2,26,84,0.1344,3.23076923076923,0.595238095238095,0.461538461538462,0.0369822485207101
"12k",1,30,95,0.15993265993266,3.16666666666667,0.568421052631579,0.552380952380952,0.306666666666667
"12k",2,30,99,0.12192118226601,3.3,0.585858585858586,0.473186119873817,0.0644444444444444
"12m",1,27,117,0.18,4.33333333333333,0.547008547008547,0.471739130434783,0.0713305898491084
"12m",2,27,112,0.172307692307692,4.14814814814815,0.589285714285714,0.433962264150943,0.0713305898491084
"12n",1,28,124,0.170096021947874,4.42857142857143,0.693548387096774,0.614785992217899,0.0344387755102041
"12n",2,28,118,0.161865569272977,4.21428571428571,0.627118644067797,0.628571428571429,0.0344387755102041
"12p",1,33,119,0.127956989247312,3.60606060606061,0.605042016806723,0.583561643835616,0.115702479338843
"12p",2,33,141,0.142137096774194,4.27272727272727,0.652482269503546,0.514184397163121,0.0587695133149679
"02a",1,25,79,0.149621212121212,3.16,0.531645569620253,0.472727272727273,0.1152
"02a",2,25,85,0.160984848484848,3.4,0.541176470588235,0.53763440860215,0.1152
"02b",1,26,116,0.201388888888889,4.46153846153846,0.603448275862069,0.414872798434442,0.109467455621302
"02b",2,26,121,0.201666666666667,4.65384615384615,0.495867768595041,0.49126213592233,0.0739644970414201
"02c",1,26,108,0.18,4.15384615384615,0.592592592592593,0.586516853932584,0.0739644970414201
"02c",2,26,98,0.163333333333333,3.76923076923077,0.673469387755102,0.615560640732265,0.0739644970414201
"02d",1,29,120,0.164835164835165,4.13793103448276,0.483333333333333,0.496551724137931,0.0998810939357907
"02d",2,29,105,0.133928571428571,3.62068965517241,0.59047619047619,0.473837209302326,0.0332936979785969
"02e",1,28,117,0.180555555555556,4.17857142857143,0.564102564102564,0.626283367556468,0.137755102040816
"02e",2,28,162,0.24,5.78571428571429,0.62962962962963,0.611680327868853,0.103316326530612
"02f",1,29,138,0.182539682539683,4.75862068965517,0.507246376811594,0.475862068965517,0.0665873959571938
"02f",2,29,114,0.156593406593407,3.93103448275862,0.491228070175439,0.457943925233645,0.0998810939357907
"02g",1,31,112,0.133333333333333,3.61290322580645,0.428571428571429,0.5,0.0936524453694069
"02g",2,31,113,0.129885057471264,3.64516129032258,0.530973451327434,0.418439716312057,0.0624349635796046
